learner_id,name,membership_plan,total_courses_completed,learner_segment,join_date
L00076,Eka Wijaya,Plus,0,Advanced,2025-12-17
L00077,Citra Dewi,Pro,18,Intermediate,2026-04-17
L00078,Dimas Pratama,Pro,24,Beginner,2024-10-30
L00079,Eka Wijaya,Pro,10,Beginner,2026-03-27
L00080,Citra Dewi,Plus,24,Intermediate,2024-12-28
L00081,Citra Dewi,Pro,0,Intermediate,2025-07-09
L00082,Dimas Pratama,Free,13,Advanced,2026-04-21
L00083,Dimas Pratama,Plus,21,Advanced,2024-03-10
L00084,Dimas Pratama,Plus,11,Advanced,2025-08-20
L00085,Alya Putri,Plus,1,Intermediate,2023-09-11
L00086,Eka Wijaya,Plus,24,Beginner,2024-03-17
L00087,Eka Wijaya,Free,5,Advanced,2026-08-04
L00088,Alya Putri,Free,25,Advanced,2026-06-18
L00089,Eka Wijaya,Pro,5,Intermediate,2025-02-15
L00090,Eka Wijaya,Free,24,Advanced,2025-05-29
L00091,Eka Wijaya,Pro,14,Advanced,2024-06-06
L00092,Eka Wijaya,Free,12,Beginner,2025-12-16
L00093,Citra Dewi,Free,9,Beginner,2024-09-07
L00094,Eka Wijaya,Pro,18,Intermediate,2025-06-14
L00095,Citra Dewi,Free,10,Advanced,2024-12-08
L00096,Alya Putri,Free,14,Intermediate,2026-04-28
L00097,Alya Putri,Pro,4,Beginner,2025-08-23
L00098,Bima Santoso,Pro,24,Advanced,2025-01-20
L00099,Bima Santoso,Pro,6,Beginner,2024-10-22
L00100,Alya Putri,Plus,25,Beginner,2024-05-22
L00101,Dimas Pratama,Free,11,Intermediate,2025-07-16
L00102,Alya Putri,Plus,9,Advanced,2025-05-15
L00103,Citra Dewi,Pro,13,Intermediate,2024-06-20
L00104,Citra Dewi,Pro,23,Advanced,2024-01-31
L00105,Eka Wijaya,Plus,9,Beginner,2026-04-06
L00106,Dimas Pratama,Pro,9,Beginner,2026-07-03
L00107,Citra Dewi,Pro,10,Beginner,2026-07-14
L00108,Bima Santoso,Pro,15,Intermediate,2025-12-09
L00109,Dimas Pratama,Pro,20,Intermediate,2025-03-16
L00110,Alya Putri,Pro,17,Intermediate,2024-07-28
L00111,Citra Dewi,Free,8,Beginner,2023-10-29
L00112,Alya Putri,Plus,12,Intermediate,2026-04-18
L00113,Bima Santoso,Free,1,Beginner,2024-09-15
L00114,Citra Dewi,Plus,21,Intermediate,2025-07-04
L00115,Eka Wijaya,Pro,18,Beginner,2023-09-28
L00116,Bima Santoso,Plus,12,Beginner,2025-08-28
L00117,Alya Putri,Plus,11,Beginner,2024-02-25
L00118,Alya Putri,Pro,4,Beginner,2026-04-18
L00119,Alya Putri,Plus,2,Intermediate,2025-04-07
L00120,Dimas Pratama,Free,18,Beginner,2024-11-21
L00121,Alya Putri,Free,5,Advanced,2024-02-07
L00122,Citra Dewi,Plus,5,Beginner,2023-12-25
L00123,Eka Wijaya,Pro,17,Beginner,2024-04-05
L00124,Alya Putri,Pro,19,Advanced,2026-01-27
L00125,Citra Dewi,Free,2,Intermediate,2025-05-01
L00126,Citra Dewi,Free,11,Intermediate,2024-08-17
L00127,Alya Putri,Pro,7,Intermediate,2024-10-17
L00128,Citra Dewi,Plus,18,Intermediate,2025-01-26
L00129,Eka Wijaya,Pro,6,Intermediate,2024-04-04
L00130,Eka Wijaya,Plus,0,Beginner,2025-08-02
L00131,Citra Dewi,Pro,22,Intermediate,2025-11-09
L00132,Dimas Pratama,Plus,7,Beginner,2024-03-10
L00133,Bima Santoso,Plus,2,Intermediate,2023-09-20
L00134,Alya Putri,Plus,8,Beginner,2023-12-03
L00135,Dimas Pratama,Plus,6,Advanced,2026-01-07
L00136,Bima Santoso,Pro,12,Beginner,2024-01-16
L00137,Bima Santoso,Plus,21,Beginner,2023-12-09
L00138,Dimas Pratama,Pro,20,Advanced,2025-03-27
L00139,Dimas Pratama,Pro,4,Beginner,2024-11-09
L00140,Bima Santoso,Free,10,Advanced,2025-02-26
L00141,Eka Wijaya,Free,8,Intermediate,2025-08-09
L00142,Alya Putri,Plus,7,Intermediate,2025-11-23
L00143,Bima Santoso,Pro,8,Intermediate,2025-07-17
L00144,Bima Santoso,Free,0,Intermediate,2026-04-24
L00145,Dimas Pratama,Plus,8,Intermediate,2025-03-10
L00146,Citra Dewi,Plus,7,Intermediate,2025-03-15
L00147,Citra Dewi,Free,24,Beginner,2024-09-18
L00148,Dimas Pratama,Pro,15,Beginner,2024-07-29
L00149,Alya Putri,Plus,0,Beginner,2024-02-27
L00150,Alya Putri,Pro,1,Advanced,2024-11-14
L00151,Alya Putri,Free,13,Advanced,2025-06-16
L00152,Bima Santoso,Plus,0,Advanced,2025-02-19
L00153,Alya Putri,Pro,11,Intermediate,2023-12-10
L00154,Citra Dewi,Plus,21,Intermediate,2024-12-02
L00155,Alya Putri,Free,19,Intermediate,2024-08-21
L00156,Citra Dewi,Plus,1,Intermediate,2025-01-11
L00157,Alya Putri,Pro,5,Intermediate,2025-12-01
L00158,Citra Dewi,Plus,8,Intermediate,2025-03-24
L00159,Citra Dewi,Pro,23,Advanced,2026-07-05
L00160,Bima Santoso,Pro,24,Intermediate,2024-06-16
L00161,Bima Santoso,Free,24,Intermediate,2025-06-21
L00162,Dimas Pratama,Plus,23,Intermediate,2023-11-30
L00163,Citra Dewi,Plus,14,Beginner,2025-03-17
L00164,Bima Santoso,Free,2,Advanced,2026-03-04
L00165,Dimas Pratama,Pro,0,Intermediate,2025-04-05
L00166,Dimas Pratama,Plus,12,Intermediate,2023-12-13
L00167,Alya Putri,Pro,15,Advanced,2024-11-02
L00168,Alya Putri,Pro,3,Advanced,2025-07-02
L00169,Dimas Pratama,Pro,6,Advanced,2025-11-07
L00170,Bima Santoso,Pro,24,Advanced,2023-09-20
L00171,Alya Putri,Plus,10,Advanced,2025-12-06
L00172,Alya Putri,Pro,22,Advanced,2025-08-25
L00173,Eka Wijaya,Pro,20,Intermediate,2025-03-26
L00174,Dimas Pratama,Pro,1,Intermediate,2025-11-05
L00175,Bima Santoso,Plus,10,Beginner,2025-11-28
L00176,Eka Wijaya,Plus,9,Intermediate,2024-04-05
L00177,Eka Wijaya,Free,0,Beginner,2024-09-28
L00178,Citra Dewi,Pro,23,Intermediate,2024-08-23
L00179,Dimas Pratama,Free,13,Advanced,2024-02-11
L00180,Eka Wijaya,Plus,7,Intermediate,2025-02-23
L00181,Bima Santoso,Pro,14,Intermediate,2024-03-27
L00182,Bima Santoso,Free,10,Intermediate,2024-06-01
L00183,Bima Santoso,Plus,6,Beginner,2025-07-25
L00184,Bima Santoso,Free,4,Intermediate,2025-02-12
L00185,Dimas Pratama,Free,8,Advanced,2026-07-28
L00186,Dimas Pratama,Free,10,Intermediate,2026-07-29
L00187,Eka Wijaya,Plus,9,Intermediate,2026-03-18
L00188,Citra Dewi,Free,7,Advanced,2024-04-25
L00189,Citra Dewi,Pro,24,Intermediate,2025-05-07
L00190,Dimas Pratama,Free,12,Intermediate,2023-11-10
L00191,Bima Santoso,Free,7,Advanced,2023-12-25
L00192,Alya Putri,Free,10,Beginner,2024-10-19
L00193,Eka Wijaya,Pro,1,Intermediate,2024-09-04
L00194,Bima Santoso,Free,23,Intermediate,2026-07-27
L00195,Dimas Pratama,Free,15,Advanced,2025-06-03
L00196,Dimas Pratama,Free,3,Advanced,2026-05-02
L00197,Alya Putri,Pro,20,Advanced,2025-05-19
L00198,Bima Santoso,Plus,20,Beginner,2023-10-26
L00199,Citra Dewi,Plus,2,Advanced,2023-10-26
L00200,Bima Santoso,Free,11,Advanced,2024-01-29
L00201,Eka Wijaya,Free,18,Intermediate,2024-03-27
L00202,Eka Wijaya,Pro,7,Beginner,2024-10-20
L00203,Dimas Pratama,Free,25,Advanced,2026-01-31
L00204,Citra Dewi,Free,5,Beginner,2024-09-12
L00205,Citra Dewi,Free,10,Intermediate,2025-03-11
L00206,Alya Putri,Plus,24,Beginner,2025-01-20
L00207,Alya Putri,Free,7,Beginner,2026-08-16
L00208,Eka Wijaya,Free,4,Beginner,2026-04-12
L00209,Bima Santoso,Free,19,Intermediate,2026-04-16
L00210,Eka Wijaya,Plus,13,Intermediate,2026-05-15
L00211,Bima Santoso,Pro,12,Beginner,2024-05-30
L00212,Alya Putri,Plus,4,Advanced,2024-09-18
L00213,Dimas Pratama,Pro,6,Intermediate,2024-10-17
L00214,Bima Santoso,Plus,18,Advanced,2025-08-09
L00215,Eka Wijaya,Plus,24,Intermediate,2024-09-10
L00216,Eka Wijaya,Plus,19,Beginner,2025-06-12
L00217,Dimas Pratama,Free,6,Advanced,2026-01-19
L00218,Dimas Pratama,Free,7,Advanced,2026-08-31
L00219,Bima Santoso,Free,11,Beginner,2025-08-26
L00220,Alya Putri,Pro,14,Intermediate,2025-05-11
L00221,Dimas Pratama,Free,2,Advanced,2024-11-29
L00222,Citra Dewi,Pro,8,Beginner,2025-11-24
L00223,Citra Dewi,Free,10,Beginner,2023-09-19
L00224,Eka Wijaya,Pro,17,Intermediate,2025-07-08
L00225,Eka Wijaya,Free,21,Beginner,2025-11-06
L00226,Eka Wijaya,Pro,20,Beginner,2026-05-24
L00227,Alya Putri,Plus,13,Advanced,2025-01-01
L00228,Eka Wijaya,Plus,12,Beginner,2024-07-02
L00229,Alya Putri,Plus,11,Advanced,2025-03-01
L00230,Citra Dewi,Free,24,Advanced,2024-06-05
L00231,Bima Santoso,Plus,18,Beginner,2025-01-19
L00232,Bima Santoso,Plus,15,Beginner,2025-06-26
L00233,Bima Santoso,Plus,10,Intermediate,2024-04-09
L00234,Citra Dewi,Plus,25,Intermediate,2024-12-28
L00235,Dimas Pratama,Pro,18,Intermediate,2026-04-28
L00236,Eka Wijaya,Plus,24,Intermediate,2025-07-20
L00237,Alya Putri,Pro,2,Advanced,2024-08-01
L00238,Eka Wijaya,Plus,2,Advanced,2024-07-18
L00239,Dimas Pratama,Plus,16,Advanced,2023-10-18
L00240,Eka Wijaya,Plus,2,Intermediate,2024-10-07
L00241,Alya Putri,Plus,23,Advanced,2025-08-25
L00242,Dimas Pratama,Pro,12,Intermediate,2026-07-02
L00243,Bima Santoso,Pro,22,Intermediate,2025-05-18
L00244,Dimas Pratama,Plus,18,Intermediate,2025-08-31
L00245,Bima Santoso,Free,4,Intermediate,2026-05-09
L00246,Citra Dewi,Pro,8,Beginner,2026-04-23
L00247,Bima Santoso,Plus,15,Intermediate,2023-11-23
L00248,Citra Dewi,Pro,15,Intermediate,2023-12-13
L00249,Dimas Pratama,Free,6,Intermediate,2024-01-03
L00250,Bima Santoso,Free,22,Intermediate,2026-01-31
L00251,Citra Dewi,Plus,6,Advanced,2025-08-04
L00252,Citra Dewi,Pro,1,Beginner,2026-02-22
L00253,Bima Santoso,Pro,8,Beginner,2026-06-10
L00254,Eka Wijaya,Plus,12,Intermediate,2024-11-03
L00255,Alya Putri,Pro,2,Intermediate,2026-05-26
L00256,Bima Santoso,Plus,24,Beginner,2024-12-08
L00257,Bima Santoso,Pro,22,Advanced,2025-05-25
L00258,Alya Putri,Pro,3,Intermediate,2023-12-31
L00259,Dimas Pratama,Free,2,Beginner,2024-06-17
L00260,Eka Wijaya,Pro,15,Intermediate,2025-05-31
L00261,Eka Wijaya,Plus,25,Intermediate,2026-05-09
L00262,Eka Wijaya,Plus,21,Beginner,2026-03-01
L00263,Alya Putri,Plus,24,Beginner,2026-02-01
L00264,Bima Santoso,Plus,19,Intermediate,2024-10-09
L00265,Alya Putri,Plus,3,Intermediate,2026-02-24
L00266,Alya Putri,Pro,22,Intermediate,2023-11-08
L00267,Bima Santoso,Plus,6,Advanced,2025-09-15
L00268,Citra Dewi,Pro,19,Advanced,2024-05-15
L00269,Citra Dewi,Free,8,Intermediate,2024-12-13
L00270,Bima Santoso,Free,8,Advanced,2024-10-18
L00271,Bima Santoso,Plus,22,Intermediate,2025-08-12
L00272,Eka Wijaya,Pro,20,Beginner,2025-11-06
L00273,Alya Putri,Free,10,Beginner,2025-11-16
L00274,Bima Santoso,Plus,9,Advanced,2025-03-24
L00275,Bima Santoso,Free,18,Advanced,2026-07-23
L00276,Alya Putri,Plus,23,Intermediate,2024-09-13
L00277,Dimas Pratama,Pro,22,Advanced,2023-09-22
L00278,Dimas Pratama,Plus,6,Advanced,2024-02-09
L00279,Bima Santoso,Plus,23,Beginner,2026-05-17
L00280,Alya Putri,Pro,10,Advanced,2023-10-24
L00281,Eka Wijaya,Free,13,Intermediate,2025-09-30
L00282,Eka Wijaya,Free,22,Beginner,2025-08-10
L00283,Citra Dewi,Free,12,Beginner,2025-01-26
L00284,Alya Putri,Plus,3,Intermediate,2025-12-17
L00285,Citra Dewi,Plus,11,Advanced,2026-03-26
L00286,Eka Wijaya,Pro,1,Intermediate,2023-09-18
L00287,Dimas Pratama,Plus,14,Advanced,2023-10-09
L00288,Dimas Pratama,Plus,9,Advanced,2025-08-28
L00289,Eka Wijaya,Free,10,Intermediate,2023-09-27
L00290,Dimas Pratama,Plus,22,Intermediate,2024-02-27
L00291,Dimas Pratama,Pro,22,Advanced,2025-03-08
L00292,Bima Santoso,Plus,3,Beginner,2025-07-09
L00293,Bima Santoso,Pro,14,Beginner,2023-10-06
L00294,Citra Dewi,Pro,13,Intermediate,2024-08-29
L00295,Dimas Pratama,Free,12,Advanced,2024-08-22
L00296,Bima Santoso,Pro,11,Advanced,2024-08-18
L00297,Citra Dewi,Plus,20,Intermediate,2025-10-28
L00298,Bima Santoso,Plus,12,Beginner,2025-01-06
L00299,Citra Dewi,Pro,5,Beginner,2025-07-18
L00300,Dimas Pratama,Pro,1,Intermediate,2024-02-20
L00301,Alya Putri,Plus,6,Intermediate,2025-06-06
L00302,Alya Putri,Plus,7,Advanced,2025-09-30
L00303,Citra Dewi,Plus,12,Advanced,2023-10-08
L00304,Bima Santoso,Pro,24,Beginner,2026-02-20
L00305,Alya Putri,Pro,13,Advanced,2024-06-14
L00306,Citra Dewi,Plus,18,Intermediate,2024-10-12
L00307,Dimas Pratama,Plus,23,Advanced,2025-12-05
L00308,Dimas Pratama,Pro,12,Advanced,2024-08-08
L00309,Dimas Pratama,Plus,2,Intermediate,2026-08-09
L00310,Eka Wijaya,Pro,25,Beginner,2025-05-21
L00311,Eka Wijaya,Pro,4,Intermediate,2024-05-30
L00312,Eka Wijaya,Free,4,Intermediate,2025-04-18
L00313,Citra Dewi,Pro,10,Beginner,2024-02-16
L00314,Bima Santoso,Free,17,Beginner,2025-10-05
L00315,Dimas Pratama,Pro,1,Intermediate,2025-07-10
L00316,Dimas Pratama,Pro,14,Intermediate,2026-06-16
L00317,Dimas Pratama,Plus,5,Advanced,2023-09-11
L00318,Citra Dewi,Pro,4,Beginner,2024-07-28
L00319,Alya Putri,Free,10,Beginner,2024-03-31
L00320,Eka Wijaya,Free,17,Intermediate,2026-07-28
L00321,Alya Putri,Pro,9,Beginner,2025-11-23
L00322,Citra Dewi,Free,16,Intermediate,2025-05-02
L00323,Eka Wijaya,Pro,6,Advanced,2026-07-23
L00324,Dimas Pratama,Free,13,Beginner,2024-02-10
L00325,Eka Wijaya,Pro,2,Intermediate,2026-01-03
L00326,Dimas Pratama,Pro,13,Beginner,2026-04-13
L00327,Eka Wijaya,Plus,3,Intermediate,2023-12-11
L00328,Eka Wijaya,Free,14,Advanced,2024-10-20
L00329,Dimas Pratama,Plus,4,Advanced,2023-09-09
L00330,Citra Dewi,Free,12,Beginner,2025-08-03
L00331,Bima Santoso,Plus,23,Intermediate,2024-06-27
L00332,Dimas Pratama,Pro,21,Intermediate,2023-12-28
L00333,Eka Wijaya,Pro,25,Intermediate,2024-07-25
L00334,Alya Putri,Free,13,Beginner,2025-11-05
L00335,Eka Wijaya,Pro,16,Advanced,2024-08-14
L00336,Bima Santoso,Plus,3,Intermediate,2026-04-02
L00337,Alya Putri,Free,6,Advanced,2026-09-04
L00338,Bima Santoso,Plus,15,Advanced,2025-07-31
L00339,Citra Dewi,Free,6,Intermediate,2025-05-05
L00340,Citra Dewi,Free,24,Intermediate,2024-04-28
L00341,Bima Santoso,Free,8,Advanced,2026-03-01
L00342,Dimas Pratama,Free,7,Advanced,2025-11-19
L00343,Citra Dewi,Pro,9,Advanced,2023-09-25
L00344,Citra Dewi,Plus,7,Intermediate,2025-06-15
L00345,Dimas Pratama,Free,21,Beginner,2024-06-15
L00346,Eka Wijaya,Plus,4,Intermediate,2026-03-18
L00347,Bima Santoso,Plus,0,Beginner,2024-08-23
L00348,Dimas Pratama,Plus,16,Beginner,2026-03-15
L00349,Dimas Pratama,Plus,1,Advanced,2024-09-29
L00350,Alya Putri,Plus,15,Intermediate,2024-11-28
L00351,Dimas Pratama,Free,4,Advanced,2024-04-05
L00352,Citra Dewi,Pro,0,Advanced,2024-08-02
L00353,Eka Wijaya,Pro,7,Beginner,2024-01-16
L00354,Eka Wijaya,Plus,16,Advanced,2024-02-16
L00355,Alya Putri,Plus,17,Beginner,2026-07-16
L00356,Dimas Pratama,Plus,1,Beginner,2024-11-27
L00357,Eka Wijaya,Pro,21,Beginner,2026-08-08
L00358,Bima Santoso,Plus,17,Advanced,2024-12-21
L00359,Eka Wijaya,Pro,0,Intermediate,2026-05-24
L00360,Eka Wijaya,Plus,23,Advanced,2026-04-22
L00361,Dimas Pratama,Free,4,Advanced,2025-01-14
L00362,Citra Dewi,Pro,2,Advanced,2026-01-28
L00363,Dimas Pratama,Pro,4,Intermediate,2024-05-15
L00364,Bima Santoso,Plus,22,Advanced,2025-08-29
L00365,Dimas Pratama,Plus,3,Beginner,2026-06-12
L00366,Dimas Pratama,Free,21,Intermediate,2025-12-25
L00367,Bima Santoso,Pro,7,Beginner,2024-03-12
L00368,Bima Santoso,Plus,5,Advanced,2025-02-12
L00369,Dimas Pratama,Plus,20,Advanced,2026-02-11
L00370,Citra Dewi,Free,0,Advanced,2026-08-20
L00371,Alya Putri,Plus,2,Advanced,2024-02-25
L00372,Bima Santoso,Free,10,Beginner,2024-05-26
L00373,Dimas Pratama,Plus,22,Beginner,2026-01-20
L00374,Citra Dewi,Free,5,Beginner,2024-12-05
L00375,Eka Wijaya,Free,21,Intermediate,2025-12-26
L00376,Citra Dewi,Plus,13,Beginner,2025-07-02
L00377,Alya Putri,Pro,0,Intermediate,2025-06-16
L00378,Dimas Pratama,Free,20,Beginner,2026-05-27
L00379,Eka Wijaya,Plus,3,Intermediate,2025-07-03
L00380,Eka Wijaya,Plus,5,Advanced,2025-12-30
L00381,Eka Wijaya,Free,14,Advanced,2026-06-06
L00382,Citra Dewi,Pro,2,Advanced,2025-09-20
L00383,Bima Santoso,Plus,13,Advanced,2024-05-18
L00384,Bima Santoso,Pro,8,Advanced,2024-07-19
L00385,Bima Santoso,Plus,18,Advanced,2026-05-23
L00386,Bima Santoso,Pro,22,Intermediate,2023-10-05
L00387,Bima Santoso,Plus,14,Beginner,2024-02-03
L00388,Bima Santoso,Pro,19,Beginner,2025-11-02
L00389,Dimas Pratama,Plus,2,Beginner,2024-04-17
L00390,Bima Santoso,Plus,13,Beginner,2026-02-15
L00391,Citra Dewi,Pro,5,Intermediate,2023-11-30
L00392,Citra Dewi,Free,21,Advanced,2026-08-04
L00393,Dimas Pratama,Plus,22,Advanced,2024-05-03
L00394,Dimas Pratama,Free,19,Advanced,2024-02-27
L00395,Dimas Pratama,Pro,10,Beginner,2024-04-03
L00396,Citra Dewi,Pro,10,Advanced,2025-08-25
L00397,Alya Putri,Free,14,Advanced,2025-09-22
L00398,Bima Santoso,Pro,12,Advanced,2026-04-03
L00399,Bima Santoso,Pro,17,Advanced,2025-10-12
L00400,Citra Dewi,Plus,23,Advanced,2024-11-17
L00401,Dimas Pratama,Free,14,Advanced,2025-01-07
L00402,Alya Putri,Free,19,Advanced,2023-11-26
L00403,Alya Putri,Pro,9,Intermediate,2024-07-11
L00404,Alya Putri,Plus,12,Intermediate,2025-01-10
L00405,Eka Wijaya,Pro,4,Intermediate,2026-04-13
L00406,Bima Santoso,Plus,6,Intermediate,2024-08-20
L00407,Dimas Pratama,Plus,13,Intermediate,2025-02-06
L00408,Citra Dewi,Pro,14,Intermediate,2024-10-13
L00409,Citra Dewi,Pro,14,Intermediate,2024-02-01
L00410,Citra Dewi,Pro,11,Beginner,2025-03-09
L00411,Citra Dewi,Pro,6,Advanced,2025-06-30
L00412,Bima Santoso,Free,17,Intermediate,2025-05-15
L00413,Citra Dewi,Plus,8,Advanced,2025-06-28
L00414,Dimas Pratama,Free,2,Beginner,2025-09-09
L00415,Eka Wijaya,Pro,23,Advanced,2024-08-18
L00416,Bima Santoso,Plus,1,Advanced,2025-06-10
L00417,Alya Putri,Plus,19,Intermediate,2025-09-06
L00418,Bima Santoso,Free,21,Intermediate,2025-11-24
L00419,Alya Putri,Pro,19,Beginner,2023-12-20
L00420,Bima Santoso,Plus,4,Beginner,2025-07-21
L00421,Alya Putri,Pro,23,Intermediate,2024-11-16
L00422,Citra Dewi,Free,16,Advanced,2026-08-07
L00423,Eka Wijaya,Plus,17,Advanced,2026-01-23
L00424,Dimas Pratama,Plus,9,Beginner,2025-06-18
L00425,Eka Wijaya,Free,12,Beginner,2025-09-05
L00426,Citra Dewi,Pro,11,Intermediate,2025-09-30
L00427,Citra Dewi,Plus,0,Intermediate,2026-06-25
L00428,Dimas Pratama,Free,3,Intermediate,2026-02-25
L00429,Eka Wijaya,Pro,21,Beginner,2024-10-31
L00430,Citra Dewi,Plus,0,Intermediate,2024-09-22
L00431,Citra Dewi,Free,13,Beginner,2024-09-12
L00432,Citra Dewi,Pro,21,Advanced,2024-07-24
L00433,Eka Wijaya,Pro,7,Beginner,2026-03-08
L00434,Bima Santoso,Free,17,Intermediate,2025-01-03
L00435,Alya Putri,Pro,3,Advanced,2024-06-14
L00436,Eka Wijaya,Free,8,Intermediate,2024-07-14
L00437,Citra Dewi,Pro,5,Beginner,2024-04-27
L00438,Dimas Pratama,Pro,13,Advanced,2025-12-18
L00439,Eka Wijaya,Free,6,Beginner,2024-03-17
L00440,Bima Santoso,Plus,9,Beginner,2025-07-10
L00441,Alya Putri,Pro,1,Intermediate,2023-11-28
L00442,Dimas Pratama,Pro,21,Advanced,2026-02-14
L00443,Citra Dewi,Free,6,Advanced,2024-08-31
L00444,Bima Santoso,Plus,14,Beginner,2026-08-01
L00445,Citra Dewi,Plus,6,Advanced,2024-09-13
L00446,Dimas Pratama,Plus,20,Beginner,2024-02-02
L00447,Dimas Pratama,Pro,6,Intermediate,2023-11-03
L00448,Citra Dewi,Pro,9,Advanced,2023-12-01
L00449,Bima Santoso,Pro,9,Intermediate,2025-09-16
L00450,Eka Wijaya,Pro,16,Intermediate,2025-03-27
L00451,Dimas Pratama,Plus,0,Intermediate,2025-08-25
L00452,Alya Putri,Plus,16,Intermediate,2026-01-31
L00453,Citra Dewi,Plus,4,Advanced,2024-03-12
L00454,Eka Wijaya,Pro,20,Beginner,2025-01-14
L00455,Alya Putri,Pro,20,Beginner,2024-04-12
L00456,Citra Dewi,Plus,15,Advanced,2025-03-02
L00457,Alya Putri,Free,10,Beginner,2024-10-25
L00458,Eka Wijaya,Free,14,Advanced,2024-08-19
L00459,Dimas Pratama,Pro,11,Beginner,2024-12-23
